Doug,Make,Model,Version,Kilometers,Engine,Fuel Type,Transmission,Year,City,Price,Currency,Link
Ford F-150 Raptor 2017,Ford,F-150 Raptor,3.5l Bi-turbo,0 km,3.5,Nafta,Automática,2022,9 de Julio,105000,USD,https://auto.mercadolibre.com.ar/MLA-1377092028-ford-f-150-raptor-2022-35l-bi-turbo-_JM
Ford F-150 Raptor 2017,Ford,F-150 Raptor,3.5l Bi-turbo,2000 km,3.5,Nafta,Automática,2023,Mar del Plata,119900,USD,https://auto.mercadolibre.com.ar/MLA-1531056962-ford-f-150-raptor-2023-35l-bi-turbo-_JM
Ford F-150 Raptor 2017,Ford,F-150,F-150 Raptor,76101 km,2.0,Diésel,Automática,2020,Capital Federal,100000,USD,https://auto.mercadolibre.com.ar/MLA-1384715537-ford-f-150-raptor-_JM
Ford F-150 Raptor 2017,Ford,F-150 Raptor,3.5l Bi-turbo,31000 km,3.5,Nafta,Automática,2020,Capital Federal,100000,USD,https://auto.mercadolibre.com.ar/MLA-1393056333-ford-f-150-raptor-2020-35l-bi-turbo-_JM
Ford F-150 Raptor 2017,Ford,F-150 Raptor,3.5l Bi-turbo,96000 km,3.5,Nafta,Automática,2020,9 de Julio,85000000,USD,https://auto.mercadolibre.com.ar/MLA-1476020352-ford-f-150-raptor-2020-35l-bi-turbo-_JM
Ford F-150 Raptor 2017,Ford,F-150 Raptor,3.5l Bi-turbo,28000 km,3.5,Nafta,Automática,2022,Berazategui,118000,USD,https://auto.mercadolibre.com.ar/MLA-1391331589-ford-f-150-raptor-2022-35l-bi-turbo-_JM
Ford F-150 Raptor 2017,Ford,F-150 Raptor,3.5l Bi-turbo,47100 km,3.5,Nafta,Automática,2020,Yerba Buena,89000,USD,https://auto.mercadolibre.com.ar/MLA-1390508051-ford-f-150-raptor-2020-35l-bi-turbo-_JM
Ford F-150 Raptor 2017,Ford,F-150 Raptor,3.5l Bi-turbo,8000 km,3.5,Nafta,Automática,2022,Vicente López,120000,USD,https://auto.mercadolibre.com.ar/MLA-1544182494-ford-f-150-raptor-2022-35l-bi-turbo-linea-nueva-_JM
Ford F-150 Raptor 2017,Ford,F-150 Raptor,3.5l Bi-turbo,71714 km,3.5,Nafta,Automática,2020,El Bolsón,115000,USD,https://auto.mercadolibre.com.ar/MLA-1390516229-ford-f-150-raptor-2020-35l-bi-turbo-_JM
Ford F-150 Raptor 2017,Ford,F-150 Raptor,3.5l Bi-turbo,80500 km,3.5,Nafta,Automática,2020,Salta,73250000,USD,https://auto.mercadolibre.com.ar/MLA-1531368470-ford-f-150-raptor-2020-35l-bi-turbo-_JM
